BasicBlock Index,Hit Count
0,0
1,1125000
2,1125000
3,1
4,0
5,1
6,8
7,7
8,7875007
9,7875000
10,7875000
11,7
12,2
13,7
14,2
15,7
16,7
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1125000
32,1125000
33,18563087
34,18563087
35,1125000
36,1125000
37,1125000
38,34875000
39,33750000
40,34875000
41,33750000
42,33750000
43,1125000
44,1125000
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,9000000
67,7875000
68,9000000
69,1125000
